#Wave	#Intensity
785.203125	561.723267
783.976563	555.328125
782.750000	565.696777
781.523438	634.714905
780.296875	598.988159
779.070313	605.154419
777.841797	584.101990
776.613281	590.268616
775.386719	594.340027
774.158203	581.671143
772.929688	612.937866
771.701172	527.066528
770.470703	560.422729
769.242188	606.310303
768.011719	510.038330
766.783203	587.266663
765.552734	664.465027
764.322266	568.237549
763.091797	591.103333
761.861328	557.576172
760.630859	630.544678
759.400391	640.860107
758.167969	553.078369
756.937500	530.017822
755.705078	605.021301
754.472656	598.646545
753.240234	613.128906
752.007813	642.201172
750.775391	604.552795
749.541016	602.351440
748.308594	600.150879
747.074219	577.116577
745.841797	631.164063
744.607422	578.975586
743.373047	560.123169
742.138672	510.050446
740.904297	576.557495
739.667969	605.580139
738.433594	559.688843
737.199219	549.179199
735.962891	555.312073
734.726563	571.839722
733.490234	582.123779
732.253906	563.303345
731.017578	507.082428
729.781250	604.640747
728.542969	521.427368
727.306641	594.020996
726.068359	533.684448
724.830078	543.961731
723.591797	506.491943
722.353516	566.579651
721.115234	572.694519
719.876953	553.912048
718.638672	553.804382
717.398438	578.581970
716.158203	547.369019
714.919922	551.408508
713.679688	603.115356
712.439453	557.410583
711.199219	602.880798
709.957031	573.764587
708.716797	569.511047
707.474609	540.412598
706.234375	561.008850
704.992188	544.341736
703.750000	525.611755
702.507813	595.853210
701.265625	535.749817
700.023438	558.394897
698.779297	558.286133
697.537109	576.783325
696.292969	562.202515
695.050781	572.425598
693.806641	566.115723
692.562500	545.348267
691.318359	541.111328
690.072266	592.628540
688.828125	590.448486
687.583984	567.628235
686.337891	592.281982
685.091797	565.343628
683.845703	567.296204
682.599609	575.435547
681.353516	579.447449
680.107422	604.074646
678.861328	529.750488
677.613281	574.986511
676.367188	548.088013
675.119141	564.461609
673.871094	502.561127
672.623047	578.656128
671.375000	580.601990
670.126953	496.091309
668.876953	582.433228
667.628906	549.396790
666.378906	541.060364
665.128906	512.158569
663.880859	534.679565
662.630859	546.911377
661.380859	561.194031
660.128906	579.581604
658.878906	538.371216
657.626953	530.048096
656.376953	546.376831
655.125000	589.396484
653.873047	537.950073
652.621094	599.430054
651.369141	574.683472
650.117188	523.270020
648.865234	615.491272
647.611328	619.473206
646.357422	578.335205
645.105469	606.928040
643.851563	578.108704
642.597656	588.243591
641.343750	618.866760
640.089844	581.866638
638.833984	626.817993
637.580078	550.918274
636.324219	608.143677
635.068359	618.260559
633.812500	630.420227
632.556641	597.553955
631.300781	617.896912
630.044922	623.912537
628.789063	613.564087
627.531250	664.564026
626.275391	666.478027
625.017578	680.655334
623.759766	633.518738
622.501953	651.783203
621.244141	717.025085
619.986328	676.036194
618.726563	708.575500
617.468750	688.020264
616.208984	706.255981
614.949219	653.056396
613.689453	740.665283
612.429688	744.599731
611.169922	711.819824
609.910156	727.993469
608.648438	760.471130
607.388672	725.668884
606.126953	731.640137
604.867188	751.872192
603.605469	719.129211
602.343750	800.459473
601.080078	720.882690
599.818359	763.496704
598.556641	732.812561
597.292969	714.351624
596.031250	702.002258
594.767578	720.173584
593.503906	758.677551
592.240234	721.923584
590.976563	691.283569
589.710938	713.508057
588.447266	735.723755
587.181641	672.587280
585.917969	629.791443
584.652344	666.228638
583.386719	672.189697
582.121094	684.239502
580.855469	639.444946
579.587891	643.377991
578.322266	665.572144
577.054688	718.189209
575.787109	687.621826
574.521484	644.898499
573.253906	687.350525
571.986328	697.350769
570.716797	678.972107
569.449219	701.128296
568.179688	678.704102
566.912109	781.874756
565.642578	690.587158
564.373047	674.252502
563.103516	757.119019
561.833984	754.945496
560.564453	770.984985
559.292969	772.855835
558.023438	746.406921
556.751953	772.550354
555.482422	754.199768
554.210938	786.395996
552.939453	735.710938
551.666016	757.794067
550.394531	765.725708
549.123047	737.294434
547.849609	777.540283
546.578125	771.328857
545.304688	795.401672
544.031250	811.391357
542.757813	819.302673
541.484375	813.087708
540.208984	909.751770
538.935547	841.000793
537.660156	840.834229
536.386719	907.195313
535.111328	927.171509
533.835938	1007.595459
532.560547	1007.395813
531.283203	1124.030884
530.007813	1091.584229
528.732422	1179.965942
527.455078	1121.349365
526.177734	1177.485229
524.900391	1159.140137
523.623047	1110.622314
522.345703	1114.425293
521.068359	1065.935425
519.791016	1085.831909
518.511719	1089.637207
517.234375	1085.400879
515.955078	1016.858948
514.675781	984.509827
513.396484	924.050171
512.117188	964.034790
510.835938	895.571106
509.556641	869.294312
508.275391	762.739502
506.996094	808.744568
505.714844	742.372314
504.433594	768.302917
503.152344	677.897583
501.871094	715.861877
500.587891	675.623230
499.306641	597.316589
498.023438	607.217896
496.740234	645.165894
495.458984	594.956970
494.175781	612.864014
492.890625	590.715393
491.607422	552.559326
490.324219	584.475403
489.039063	544.334412
487.755859	618.256836
486.470703	574.124207
485.185547	518.008850
483.900391	623.886414
482.615234	617.764404
481.328125	577.664551
480.042969	573.552551
478.755859	527.483276
477.470703	565.333374
476.183594	629.132568
474.896484	621.019714
473.609375	672.803589
472.322266	610.791809
471.033203	706.461365
469.746094	722.282471
468.457031	706.179504
467.169922	777.839111
465.880859	809.588867
464.591797	907.116760
463.300781	966.733643
462.011719	986.469360
460.722656	1077.925903
459.431641	1151.417358
458.142578	1105.378906
456.851563	1019.533203
455.560547	1017.338623
454.269531	933.535156
452.978516	931.358521
451.685547	797.863525
450.394531	791.736145
449.101563	745.833435
447.808594	779.488647
446.517578	681.916138
445.224609	638.050476
443.929688	663.757690
442.636719	639.782104
441.343750	659.519104
440.048828	629.595520
438.755859	561.955444
437.460938	575.740112
436.166016	599.443787
434.871094	555.664429
433.576172	561.505493
432.279297	585.197693
430.984375	547.397339
429.687500	565.133972
428.392578	547.177979
427.095703	562.925354
425.798828	604.428955
424.501953	552.793030
423.203125	586.358154
421.906250	562.474060
420.609375	540.579712
419.310547	566.208008
418.011719	526.507385
416.712891	569.938721
415.414063	534.210327
414.115234	508.387054
412.816406	537.951477
411.515625	565.526550
410.216797	565.413025
408.916016	545.533752
407.615234	488.115143
406.314453	527.532654
405.013672	529.402039
403.712891	533.245667
402.410156	548.935181
401.109375	536.979736
399.806641	562.531128
398.503906	554.524475
397.201172	574.142944
395.898438	520.767212
394.595703	556.162170
393.292969	516.614136
391.988281	569.738342
390.685547	569.623718
389.380859	508.419861
388.076172	535.900635
386.771484	456.999725
385.466797	464.785431
384.162109	478.475098
382.855469	517.751465
381.550781	444.822296
380.244141	450.636230
378.937500	495.796722
377.630859	474.059265
376.324219	475.930359
375.017578	454.205597
373.710938	426.591980
372.402344	481.539001
371.095703	446.070648
369.787109	426.333954
368.478516	443.926453
367.169922	457.584045
365.861328	477.126587
364.552734	506.476593
363.242188	504.411682
361.933594	537.668884
360.623047	519.903259
359.312500	496.260254
358.001953	496.160034
356.691406	498.020538
355.380859	588.094421
354.068359	568.376404
352.757813	615.290100
351.445313	619.083984
350.132813	566.073120
348.822266	595.333740
347.507813	546.264893
346.195313	508.961121
344.882813	542.129700
343.568359	483.317505
342.255859	489.088776
340.941406	477.254059
339.626953	461.513000
338.312500	434.047241
336.998047	418.321198
335.683594	441.689026
334.367188	451.369476
333.052734	484.489014
331.736328	455.093048
330.419922	470.623199
329.103516	480.289856
327.787109	441.152466
326.470703	423.498627
325.154297	409.754303
323.835938	407.720398
322.519531	444.695709
321.201172	388.054840
319.882813	409.422058
318.564453	428.831329
317.246094	385.869904
315.925781	428.657318
314.607422	422.726196
313.287109	381.739716
311.966797	389.451233
310.648438	373.797272
309.328125	381.507233
308.005859	391.160126
306.685547	377.460938
305.365234	398.782318
304.042969	418.150146
302.720703	412.231689
301.400391	402.427429
300.078125	427.613708
298.755859	373.114288
297.431641	371.095490
296.109375	431.237946
294.785156	386.481506
293.462891	386.402893
292.138672	405.737549
290.814453	355.190704
289.490234	362.880585
288.166016	376.387695
286.839844	364.672577
285.515625	345.204803
284.189453	381.974701
282.863281	379.958344
281.537109	407.015289
280.210938	356.550262
278.884766	348.728088
277.558594	358.341919
276.230469	354.395691
274.904297	371.749176
273.576172	379.416565
272.248047	408.370239
270.919922	373.456787
269.591797	361.772919
268.263672	363.633331
266.933594	413.838562
265.605469	407.953796
264.275391	407.870544
262.945313	396.191406
261.615234	483.061584
260.285156	363.188141
258.955078	403.674561
257.623047	424.833771
256.292969	496.181671
254.960938	470.986725
253.628906	447.731903
252.296875	507.454407
250.964844	484.201569
249.632813	526.533875
248.300781	553.422363
246.966797	532.102173
245.632813	501.153137
244.300781	495.269257
242.966797	481.680817
241.632813	483.508575
