#Wave	#Intensity
858.357422	292.601379
857.144531	292.545349
855.931641	235.263153
854.718750	277.599731
853.505859	300.851990
852.292969	258.428955
851.080078	279.558075
849.865234	302.796539
848.652344	277.333862
847.437500	289.980591
846.222656	311.087402
845.007813	268.711060
843.792969	251.736084
842.578125	344.748840
841.363281	321.421906
840.148438	270.619171
838.931641	245.201553
837.714844	283.195740
836.500000	325.401276
835.283203	340.126953
834.066406	264.023041
832.849609	266.084106
831.632813	255.476151
830.414063	280.758698
829.197266	272.262543
827.978516	265.879761
826.759766	278.487183
825.542969	305.855164
824.324219	225.656647
823.105469	297.303467
821.886719	284.597565
820.666016	250.819244
819.447266	263.414948
818.226563	278.112671
817.007813	286.485229
815.787109	254.838562
814.566406	263.212341
813.345703	258.951111
812.125000	286.264832
810.904297	271.478363
809.681641	281.946503
808.460938	326.069366
807.238281	256.598724
806.015625	248.137863
804.792969	271.217133
803.570313	271.164886
802.347656	247.994507
801.125000	289.971619
799.902344	304.621613
798.677734	266.755096
797.455078	281.403900
796.230469	291.847778
795.005859	279.196198
793.781250	329.513916
792.556641	306.367859
791.332031	293.720734
790.107422	251.712082
788.880859	228.594360
787.656250	260.002136
786.429688	257.855591
785.203125	278.765656
783.976563	295.476471
782.750000	282.848389
781.523438	280.699005
780.296875	276.456085
779.070313	297.342285
777.841797	316.126862
776.613281	246.991821
775.386719	253.222351
774.158203	267.819824
772.929688	280.319702
771.701172	263.533264
770.470703	265.573456
769.242188	292.701538
768.011719	288.464294
766.783203	273.779114
765.552734	248.652008
764.322266	238.158371
763.091797	263.176758
761.861328	273.567352
760.630859	313.184448
759.400391	290.161438
758.167969	250.450592
756.937500	262.922211
755.705078	256.612488
754.472656	254.476929
753.240234	283.624268
752.007813	254.378372
750.775391	275.175751
749.541016	285.543762
748.308594	285.488434
747.074219	304.184204
745.841797	277.045593
744.607422	281.157196
743.373047	293.596161
742.138672	291.457397
740.904297	231.039276
739.667969	264.290985
738.433594	280.884735
737.199219	245.466446
735.962891	247.498657
734.726563	241.212387
733.490234	259.876709
732.253906	247.354599
731.017578	276.401489
729.781250	236.869568
728.542969	267.984589
727.306641	236.777603
726.068359	259.574158
724.830078	247.066605
723.591797	259.473328
722.353516	263.573700
721.115234	273.897369
719.876953	273.844147
718.638672	257.197540
717.398438	265.442627
716.158203	313.078491
714.919922	252.901657
713.679688	288.086029
712.439453	304.607269
711.199219	263.112915
709.957031	273.418488
708.716797	294.074799
707.474609	277.453217
706.234375	296.030518
704.992188	285.624176
703.750000	264.875214
702.507813	304.133423
701.265625	316.485382
700.023438	287.469971
698.779297	310.158966
697.537109	328.704468
696.292969	289.368927
695.050781	328.576416
693.806641	320.247925
692.562500	313.988373
691.318359	276.751587
690.072266	344.839600
688.828125	334.449860
687.583984	313.743622
686.337891	334.319458
685.091797	290.924988
683.845703	340.377747
682.599609	344.436310
681.353516	309.313568
